County,Vaccine,Colorado NIS Rate,US NIS Rates,HP2020 Goals,Period,Percent Group,Up-To-Date Percent,State Rate
Bent,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",91% - 95%,94.44,80.12821095449874
Routt,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",86% - 90%,86.89,80.12821095449874
Pitkin,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",86% - 90%,88.1,80.12821095449874
Douglas,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",86% - 90%,86.48,80.12821095449874
Weld,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,82.07,80.12821095449874
Summit,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,81.47,80.12821095449874
Prowers,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,85.35,80.12821095449874
Montrose,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,81.09,80.12821095449874
Larimer,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,83.97,80.12821095449874
Kit Carson,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,85.16,80.12821095449874
Kiowa,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,85,80.12821095449874
Jefferson,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,85.04,80.12821095449874
Elbert,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,82.76,80.12821095449874
Denver,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,82.38,80.12821095449874
Broomfield,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,84.81,80.12821095449874
Arapahoe,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",81% - 85%,81.99,80.12821095449874
Teller,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,71.54,80.12821095449874
Sedgwick,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,75,80.12821095449874
San Miguel,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,80.49,80.12821095449874
Rio Grande,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,73.56,80.12821095449874
Pueblo,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,73.16,80.12821095449874
Park,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,78.32,80.12821095449874
Ouray,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,80,80.12821095449874
Otero,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,75.21,80.12821095449874
Montezuma,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,71.25,80.12821095449874
Moffat,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,74.81,80.12821095449874
Las Animas,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,74.88,80.12821095449874
La Plata,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,78.55,80.12821095449874
Gunnison,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,72.85,80.12821095449874
Grand,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,72.99,80.12821095449874
Garfield,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,77.78,80.12821095449874
Fremont,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,76.9,80.12821095449874
El Paso,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,73.38,80.12821095449874
Eagle,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,77.52,80.12821095449874
Delta,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,71.13,80.12821095449874
Custer,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,78.57,80.12821095449874
Costilla,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,80.36,80.12821095449874
Conejos,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,73.75,80.12821095449874
Chaffee,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,75.42,80.12821095449874
Boulder,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,79.51,80.12821095449874
Baca,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,80.88,80.12821095449874
Alamosa,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,73.5,80.12821095449874
Adams,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",71% - 80%,80.72,80.12821095449874
Yuma,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,62.5,80.12821095449874
Saguache,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,68.75,80.12821095449874
Rio Blanco,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,63.64,80.12821095449874
Phillips,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,63.16,80.12821095449874
Morgan,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,69.5,80.12821095449874
Mesa,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,70.77,80.12821095449874
Lincoln,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,68.64,80.12821095449874
Lake,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,66.42,80.12821095449874
Jackson,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,70.59,80.12821095449874
Huerfano,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,69.57,80.12821095449874
Gilpin,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,69.35,80.12821095449874
Crowley,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,68.75,80.12821095449874
Clear Creek,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,65.82,80.12821095449874
Cheyenne,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,69.23,80.12821095449874
Archuleta,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",61% - 70%,70.5,80.12821095449874
Washington,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",50% - 60%,55.74,80.12821095449874
San Juan,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",50% - 60%,57.14,80.12821095449874
Logan,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",50% - 60%,50.59,80.12821095449874
Hinsdale,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",50% - 60%,50,80.12821095449874
Dolores,4+ PCV13,79.6%,82.4%,90%,"July 1, 2019 - December 31, 2019",< 50%,46.15,80.12821095449874
Mineral,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",> 96%,100,80.8635380114583
Kiowa,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",91% - 95%,95.83,80.8635380114583
Ouray,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",86% - 90%,87.1,80.8635380114583
Kit Carson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",86% - 90%,87.02,80.8635380114583
Douglas,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",86% - 90%,86.7,80.8635380114583
Broomfield,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",86% - 90%,86.07,80.8635380114583
Weld,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,81.48,80.8635380114583
Summit,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,83.88,80.8635380114583
San Miguel,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,83.16,80.8635380114583
Routt,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,85.75,80.8635380114583
Prowers,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,85.76,80.8635380114583
Pitkin,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,85.16,80.8635380114583
Montrose,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,83.57,80.8635380114583
Larimer,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,84.63,80.8635380114583
La Plata,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,81.19,80.8635380114583
Jefferson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,85.25,80.8635380114583
Garfield,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,81.12,80.8635380114583
Elbert,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,81.23,80.8635380114583
Denver,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,83.82,80.8635380114583
Custer,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,81.82,80.8635380114583
Costilla,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,81.97,80.8635380114583
Bent,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,82.35,80.8635380114583
Arapahoe,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,82.57,80.8635380114583
Adams,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",81% - 85%,81.6,80.8635380114583
Yuma,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,72.95,80.8635380114583
Sedgwick,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,72,80.8635380114583
San Juan,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,71.43,80.8635380114583
Rio Grande,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,72.35,80.8635380114583
Pueblo,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,74.97,80.8635380114583
Park,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,75.61,80.8635380114583
Otero,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,75.07,80.8635380114583
Morgan,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,71.41,80.8635380114583
Montezuma,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,73.26,80.8635380114583
Moffat,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,74,80.8635380114583
Mesa,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,71.53,80.8635380114583
Las Animas,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,78.44,80.8635380114583
Gunnison,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,76.56,80.8635380114583
Grand,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,76.73,80.8635380114583
Fremont,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,76.53,80.8635380114583
El Paso,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,74.28,80.8635380114583
Eagle,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,76.84,80.8635380114583
Delta,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,74.43,80.8635380114583
Crowley,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,72.92,80.8635380114583
Conejos,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,72.05,80.8635380114583
Chaffee,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,75.49,80.8635380114583
Boulder,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,80.57,80.8635380114583
Baca,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,80.88,80.8635380114583
Alamosa,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",71% - 80%,72.46,80.8635380114583
Washington,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,62.5,80.8635380114583
Teller,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,66.02,80.8635380114583
Rio Blanco,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,61.82,80.8635380114583
Phillips,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,68.85,80.8635380114583
Lincoln,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,64.35,80.8635380114583
Lake,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,67.09,80.8635380114583
Jackson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,61.9,80.8635380114583
Huerfano,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,68.75,80.8635380114583
Gilpin,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,69.49,80.8635380114583
Dolores,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,70.59,80.8635380114583
Cheyenne,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,66.67,80.8635380114583
Archuleta,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",61% - 70%,69.32,80.8635380114583
Saguache,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",50% - 60%,55.17,80.8635380114583
Logan,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",50% - 60%,50.16,80.8635380114583
Hinsdale,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",50% - 60%,50,80.8635380114583
Clear Creek,4+ PCV13,79.6%,82.4%,90%,"January 1, 2020 - June 30, 2020",50% - 60%,60.81,80.8635380114583
Kiowa,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",91% - 95%,92,75.98822163470857
Prowers,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",86% - 90%,90.46,75.98822163470857
Hinsdale,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",86% - 90%,87.5,75.98822163470857
Baca,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",86% - 90%,90,75.98822163470857
Otero,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",81% - 85%,84.55,75.98822163470857
Montrose,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",81% - 85%,82.2,75.98822163470857
Kit Carson,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",81% - 85%,84.51,75.98822163470857
Jefferson,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",81% - 85%,81.7,75.98822163470857
Douglas,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",81% - 85%,81.31,75.98822163470857
Denver,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",81% - 85%,85.26,75.98822163470857
Arapahoe,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",81% - 85%,83.94,75.98822163470857
Adams,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",81% - 85%,81.52,75.98822163470857
Ouray,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",71% - 80%,78.57,75.98822163470857
Las Animas,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",71% - 80%,72.99,75.98822163470857
La Plata,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",71% - 80%,77.62,75.98822163470857
Fremont,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",71% - 80%,71.1,75.98822163470857
Elbert,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",71% - 80%,71.11,75.98822163470857
Dolores,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",71% - 80%,72.73,75.98822163470857
Delta,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",71% - 80%,71.2,75.98822163470857
Costilla,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",71% - 80%,74.29,75.98822163470857
Boulder,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",71% - 80%,71.36,75.98822163470857
Bent,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",71% - 80%,78.79,75.98822163470857
Alamosa,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",71% - 80%,74.68,75.98822163470857
Weld,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,70.96,75.98822163470857
Washington,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,66.67,75.98822163470857
Summit,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,64.6,75.98822163470857
Saguache,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,64.86,75.98822163470857
Rio Grande,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,65.63,75.98822163470857
Rio Blanco,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,66.18,75.98822163470857
Pueblo,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,63.79,75.98822163470857
Park,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,66.67,75.98822163470857
Montezuma,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,68.44,75.98822163470857
Mineral,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,70,75.98822163470857
Logan,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,67.08,75.98822163470857
Lincoln,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,68.82,75.98822163470857
Larimer,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,69.76,75.98822163470857
Lake,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,63.27,75.98822163470857
Gunnison,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,67.92,75.98822163470857
Grand,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,64.71,75.98822163470857
Gilpin,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,67.39,75.98822163470857
Garfield,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,68.29,75.98822163470857
El Paso,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,66.32,75.98822163470857
Eagle,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,68.21,75.98822163470857
Custer,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,63.64,75.98822163470857
Conejos,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,64.08,75.98822163470857
Cheyenne,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,68.75,75.98822163470857
Chaffee,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,64.96,75.98822163470857
Broomfield,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,67.18,75.98822163470857
Archuleta,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",61% - 70%,64.71,75.98822163470857
Teller,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",50% - 60%,60.19,75.98822163470857
Sedgwick,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",50% - 60%,50,75.98822163470857
Pitkin,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",50% - 60%,55.97,75.98822163470857
Phillips,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",50% - 60%,58.9,75.98822163470857
Morgan,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",50% - 60%,56.41,75.98822163470857
Mesa,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",50% - 60%,59.09,75.98822163470857
Jackson,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",50% - 60%,59.09,75.98822163470857
Huerfano,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",50% - 60%,60,75.98822163470857
Crowley,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",50% - 60%,51.22,75.98822163470857
Clear Creek,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",50% - 60%,54.29,75.98822163470857
Yuma,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",< 50%,44.58,75.98822163470857
San Miguel,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",< 50%,49.06,75.98822163470857
San Juan,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",< 50%,46.15,75.98822163470857
Routt,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",< 50%,34.38,75.98822163470857
Moffat,4+ PCV13,79.6%,82.4%,90%,"July 1, 2015 - December 31, 2015",< 50%,49.79,75.98822163470857
